ST1 to PS1,ST1 to PS2,ST1 to PS3,ST1 to PS4,ST1 to PS6,ST1 to PS9,ST1 to PS12,ST1 to PS16,ST1 to PS20,ST1 to PS24
0.321396126,-0.707751252,-1.160154771,-1.554931562,-1.722743624,-0.241242855,-0.530912438,-0.876949401,-1.45508887,-1.555131616
-1.231493204,1.734794956,2.479915288,3.269070952,3.84951288,0.430620916,1.203300434,1.854665671,2.819099991,3.522816444
0.235371098,-1.799773878,-2.030774623,-2.01156257,-2.085651523,-0.078265525,-1.483713955,-1.786352427,-1.990363491,-2.123996293
0.314568179,-0.559970431,-1.006522707,-2.144098683,-2.483987591,-0.287530235,-0.386651751,-0.527762969,-1.676629736,-2.398457662
-0.611549573,1.359680483,1.839666447,2.16663043,2.32265703,0.394582257,1.025014398,1.845956176,2.039772292,2.213275931
0.026540821,-0.164603572,-0.356420622,-1.050018795,-1.110694052,-0.1450814,-0.115904817,-0.227425474,-0.947670197,-1.19455491
0.508629224,-1.333555999,-1.844360692,-1.991138811,-1.841480591,-0.552493249,-0.917730701,-2.400391178,-2.010314003,-1.940619755
0.128559718,-0.354620724,-0.737774986,-1.349065085,-1.576225543,-0.112760984,-0.218885513,-0.312678745,-1.006451781,-1.370126963
0.061408068,-0.726847167,-1.013197979,-1.176594,-1.180581098,-0.187466468,-0.300525723,-0.78464353,-1.090411275,-1.117436619
-0.708852937,0.101971836,-1.123527187,-1.66277964,-1.507265293,0.28980524,0.56467032,0.028702211,-1.383273256,-1.243644028
-0.717524651,1.188322984,1.653148757,2.215646767,2.145308893,0.24865859,1.217535757,1.922214254,2.023336958,2.094566427
0.335538395,-0.615871624,-0.983924188,-1.164488272,-1.181472069,-0.088472235,-0.479655306,-0.932295132,-1.120604213,-1.024738941
-0.028422484,0.440876628,1.336895455,1.763395524,1.684371306,0.207438439,0.199872567,0.799257312,1.55690786,1.716047059
-1.020086176,0.860974616,-1.001949182,-1.428382953,-1.509012921,0.007548034,1.749881561,0.174625428,-1.316102915,-1.398667843
0.126946253,-0.667705572,-1.97592924,-2.564037683,-3.226628786,-0.068775532,-0.352877464,-1.108996559,-2.181301938,-2.824300809
0.252924983,-0.604935598,-1.223846614,-1.388802999,-1.370972772,-0.256558956,-0.431181605,-1.024955987,-1.517253862,-1.258821649
-0.854976694,1.643703412,2.313997333,3.304466497,3.547417733,0.039771485,1.164563998,2.254410983,3.050735919,3.406837286
